INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,,,,,Occur_Time,Time_of_Day,0:00,6:00
214513453,6/23/2020,19:15:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,,,,<18,M,BLACK,961580,163524,40.61549122,-74.08165623,POINT (-74.08165622999996 40.61549122300005),,,,,19:15,Evening,,
213943825,6/7/2020,13:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK,1005740,182009,40.66623152,-73.922538,POINT (-73.92253800099996 40.66623152100004),,,,,13:40,Afternoon,,
214184463,6/14/2020,2:25:00,BRONX,44,0,,FALSE,,,,25-44,M,BLACK,1004315,243965,40.83628834,-73.92748974,POINT (-73.92748973599998 40.83628833500006),,,,,2:25,Pre-Dawn Morning,,
213818584,6/3/2020,20:35:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,996921,176967,40.65240935,-73.95433668,POINT (-73.95433667599997 40.65240935300005),,,,,20:35,Evening,,
213283576,5/19/2020,14:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,45-64,M,WHITE HISPANIC,1009450,182401,40.66729769,-73.90916338,POINT (-73.90916337699997 40.667297692000034),,,,,14:40,Afternoon,,
211066106,3/13/2020,16:53:00,BROOKLYN,78,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,989890,184527,40.67316715,-73.97966923,POINT (-73.97966923499996 40.673167153000065),,,,,16:53,Afternoon,,
208733991,1/29/2020,20:30:00,BROOKLYN,75,0,,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1017119,183909,40.67141166,-73.88151172,POINT (-73.88151172399995 40.67141166300007),,,,,20:30,Evening,,
210337523,2/28/2020,19:00:00,QUEENS,103,0,,FALSE,,,,25-44,M,BLACK,1038832,195935,40.70431296,-73.80314114,POINT (-73.80314114199996 40.70431295700007),,,,,19:00,Evening,,
212998635,5/12/2020,16:47:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,18-24,M,BLACK,962219,163861,40.61641783,-74.07935572,POINT (-74.07935572399998 40.616417830000046),,,,,16:47,Afternoon,,
213724257,5/30/2020,16:40:00,BRONX,48,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1014154,251416,40.85671129,-73.89189996,POINT (-73.89189995599997 40.85671129100007),,,,,16:40,Afternoon,,
213472077,5/22/2020,23:53:00,BRONX,44,0,,FALSE,,,,<18,M,BLACK,1007500,241369,40.82915525,-73.91598865,POINT (-73.91598865499998 40.82915525300007),,,,,23:53,Evening,,
212775223,5/6/2020,15:12:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,997621,194157,40.699591,-73.95177986,POINT (-73.95177985899994 40.699590998000076),,,,,15:12,Afternoon,,
